condition_group,condition,therapy_group,therapy,clinicaltrials_n,pubmed_n,trials_url,articles_url,year_min,year_max,study_types,countries,evidence_direction,effect_size_estimate,quality_rating,sample_size_min,source,country,last_updated
Mental Health,Addiction,Traditional,Acupuncture,4,462,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Addiction,Behavioural & Lifestyle,Aromatherapy,0,30,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Addiction,Traditional,Ayurveda,0,23,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Addiction,Behavioural & Lifestyle,Cognitive Behavioural Therapy,56,2723,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Addiction,Behavioural & Lifestyle,Exercise Therapy,2,451,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Exercise+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Exercise+Therapy%22+OR+%22exercise+therapy%22+OR+%22therapeutic+exercise%22+OR+%22physical+exercise%22+OR+%22exercise+intervention%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Addiction,Traditional,Herbal,0,568,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Herbal%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Herbal%22+OR+%22herbal%22+OR+%22herbal+medicine%22+OR+%22phytotherapy%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Addiction,Behavioural & Lifestyle,Massage,1,61,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Massage%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Massage%22+OR+%22massage%22+OR+%22massage+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Addiction,Mind–Body,Meditation,28,1019,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Meditation%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Meditation%22+OR+%22meditation%22+OR+%22mindfulness%22+OR+%22mbsr%22+OR+%22mindfulness-based+stress+reduction%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Addiction,Mind–Body,Qi Gong,1,22,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Qi+Gong%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Qi+Gong%22+OR+%22qigong%22+OR+%22chi+kung%22+OR+%22qi+gong%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Addiction,Mind–Body,Tai Chi,3,37,https://clinicaltrials.gov/search?cond=%28Addiction%29+AND+%28Tai+Chi%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Addiction%22+OR+%22substance+use+disorder%22+OR+%22substance-related+disorders%22+OR+%22addiction%22%29+AND+%28%22Tai+Chi%22+OR+%22tai+chi%22+OR+%22taiji%22+OR+%22tai+ji%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
